recipe_name,prep,cooking,food type,Calories, Carbohydrates, Protein, Fat, Saturated Fat, Polyunsaturated Fat, Sodium, Potassium, Fiber, Sugar, Vitamin A, Vitamin C, Calcium, Iron,Serving, Cholesterol, Trans Fat,url,ingredients,tokenized_ingredients,cleaned_tokenized_ingredients
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,"10
minutes","30
minutes",Breakfast, 2798kcal (140%, 210g (70%, 87g (174%, 177g (272%, 59g (295%, 30g Monounsaturated Fat, 3232mg (135%, 1687mg (48%, 8g (32%, 11g (12%, 4295IU (86%, 44mg (53%, 724mg (72%, 8mg (44%,,,,https://panlasangpinoy.com/pinoy-breakfast-omelet-and-bacon-garlic-fried-rice/,"▢
5 eggs
▢
1 ½ teaspoons Knorr Liquid Seasoning
▢
1 tomato sliced
▢
1 onion sliced
▢
½ cup cheddar cheese grated
▢
½ cup green onions chopped
▢
2 tablespoons butter
▢
3 tablespoons cooking oil","[[], ['5', 'eggs'], [], ['1', '½', 'teaspoons', 'Knorr', 'Liquid', 'Seasoning'], [], ['1', 'tomato', 'sliced'], [], ['1', 'onion', 'sliced'], [], ['½', 'cup', 'cheddar', 'cheese', 'grated'], [], ['½', 'cup', 'green', 'onions', 'chopped'], [], ['2', 'tablespoons', 'butter'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['eggs', 'knorr', 'liquid', 'seasoning', 'tomato', 'onion', 'cheddar', 'cheese', 'green', 'onions', 'butter', 'cooking', 'oil']"
Air Fryer Longganisa Frittata,"5
minutes","15
minutes",Breakfast, 266kcal (13%, 5g (2%, 17g (34%, 19g (29%, 7g (35%, 3g Monounsaturated Fat, 960mg (40%, 283mg (8%, 2g (8%, 3g (3%, 1591IU (32%, 46mg (56%, 146mg (15%, 2mg (11%,,,,https://panlasangpinoy.com/air-fryer-longganisa-frittata-recipe/,"▢
6 CDO Skinless Longganisa cooked
▢
6 eggs
▢
1 bell pepper chopped
▢
½ cup frozen green peas
▢
½ cup cheddar cheese
▢
1 teaspoon salt","[[], ['6', 'CDO', 'Skinless', 'Longganisa', 'cooked'], [], ['6', 'eggs'], [], ['1', 'bell', 'pepper', 'chopped'], [], ['½', 'cup', 'frozen', 'green', 'peas'], [], ['½', 'cup', 'cheddar', 'cheese'], [], ['1', 'teaspoon', 'salt']]","['cdo', 'skinless', 'longganisa', 'cooked', 'eggs', 'bell', 'pepper', 'frozen', 'green', 'peas', 'cheddar', 'cheese', 'salt']"
Breakfast Burrito,"10
minutes","10
minutes",Breakfast, 531kcal (27%, 48g (16%, 28g (56%, 25g (38%, 12g (60%, 2g Monounsaturated Fat, 544mg (23%, 605mg (17%, 3g (12%, 4g (4%, 2952IU (59%, 13mg (16%, 306mg (31%, 3mg (17%,,,,https://panlasangpinoy.com/breakfast-burrito/,"▢
225 g CDO Funtastyk Young Pork Tocino
▢
2 ½ cups cooked rice
▢
3 eggs
▢
1 cup cheddar cheese shredded
▢
4 flour tortillas
▢
1 ½ cups romaine lettuce shredded
▢
3 tomatoes diced
▢
2 tablespoons fresh milk
▢
2 tablespoons butter
▢
1 teaspoon white vinegar","[[], ['225', 'g', 'CDO', 'Funtastyk', 'Young', 'Pork', 'Tocino'], [], ['2', '½', 'cups', 'cooked', 'rice'], [], ['3', 'eggs'], [], ['1', 'cup', 'cheddar', 'cheese', 'shredded'], [], ['4', 'flour', 'tortillas'], [], ['1', '½', 'cups', 'romaine', 'lettuce', 'shredded'], [], ['3', 'tomatoes', 'diced'], [], ['2', 'tablespoons', 'fresh', 'milk'], [], ['2', 'tablespoons', 'butter'], [], ['1', 'teaspoon', 'white', 'vinegar']]","['cdo', 'funtastyk', 'young', 'pork', 'tocino', 'cooked', 'rice', 'eggs', 'cheddar', 'cheese', 'flour', 'tortillas', 'romaine', 'lettuce', 'tomatoes', 'fresh', 'milk', 'butter', 'white', 'vinegar']"
One Pan Sandwich,"5
minutes","10
minutes",Breakfast, 1048kcal (52%, 27g (9%, 19g (38%, 97g (149%, 24g (120%, 28g Monounsaturated Fat, 848mg (35%, 213mg (6%, 2g (8%, 4g (4%, 1194IU (24%, 0.1mg Calcium,, 4mg (22%,,,,https://panlasangpinoy.com/one-pan-sandwich/,"▢
5 strips CDO Young Pork Bacon
▢
2 eggs
▢
2 bread slices
▢
2 tablespoons mayonnaise
▢
2 tablespoons butter
▢
3 tablespoons cooking oil","[[], ['5', 'strips', 'CDO', 'Young', 'Pork', 'Bacon'], [], ['2', 'eggs'], [], ['2', 'bread', 'slices'], [], ['2', 'tablespoons', 'mayonnaise'], [], ['2', 'tablespoons', 'butter'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['strips', 'cdo', 'young', 'pork', 'bacon', 'eggs', 'bread', 'mayonnaise', 'butter', 'cooking', 'oil']"
Bacon Stuffed Pancake,"10
minutes","15
minutes",Breakfast, 119kcal (6%, 9g (3%, 4g (8%, 7g (11%, 1g (5%, 2g Monounsaturated Fat, 205mg (9%, 80mg (2%, 1g (4%, 0.04g Vitamin A,, 0.2mg Calcium,, 1mg (6%,,,,https://panlasangpinoy.com/bacon-stuffed-pancake/,"▢
5 strips CDO Young Pork Bacon","[[], ['5', 'strips', 'CDO', 'Young', 'Pork', 'Bacon']]","['strips', 'cdo', 'young', 'pork', 'bacon']"
Tapa and Egg Fried Rice,,"35
minutes",Breakfast, 798kcal (40%, 66g (22%, 34g (68%, 44g (68%, 12g (60%, 6g Monounsaturated Fat, 4255mg (177%, 733mg (21%, 4g (16%, 16g (18%, 2674IU (53%, 45mg (55%, 97mg (10%, 5mg (28%,,,,https://panlasangpinoy.com/tapa-and-egg-fried-rice/,"▢
1 lb. horse meat sliced into thin pieces.
▢
1 head garlic crushed
▢
½ cup soy sauce
▢
¼ teaspoon ground black pepper
▢
1 teaspoon salt
▢
2 teaspoons sugar
▢
¾ cups water
▢
1 ½ cups lemon lime soda
▢
4 tablespoons cooking oil","[[], ['1', 'lb', 'horse', 'meat', 'sliced', 'into', 'thin', 'pieces'], [], ['1', 'head', 'garlic', 'crushed'], [], ['½', 'cup', 'soy', 'sauce'], [], ['¼', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', 'teaspoon', 'salt'], [], ['2', 'teaspoons', 'sugar'], [], ['¾', 'cups', 'water'], [], ['1', '½', 'cups', 'lemon', 'lime', 'soda'], [], ['4', 'tablespoons', 'cooking', 'oil']]","['horse', 'meat', 'into', 'thin', 'head', 'garlic', 'soy', 'sauce', 'ground', 'black', 'pepper', 'salt', 'sugar', 'water', 'lemon', 'lime', 'soda', 'cooking', 'oil']"
Arroz Caldo Recipe,"10
minutes","45
minutes",Breakfast,, 43g (14%, 29g (58%, 32g (49%, 7g (35%, 7g Monounsaturated Fat, 766mg (32%, 442mg (13%, 2g (8%, 2g (2%, 489IU (10%, 17mg (21%, 75mg (8%, 2mg (11%, 6g Calories,,,https://panlasangpinoy.com/arroz-caldo/,"▢
1 ½ lbs chicken cut into serving pieces
▢
1 ½ cups rice uncooked
▢
34 ounces water about 1 liter
▢
2 Tablespoons fish sauce
▢
1 teaspoon garlic
▢
1/4 teaspoon ground black pepper
▢
1 cup onion minced
▢
4 eggs hard boiled
▢
1 cup scallions green onions, minced
▢
2 knobs ginger julienned
▢
3 tbsp safflower kasubha
▢
1 chicken cube bouillon
▢
1 lemon or 4 pieces calamansi
▢
2 Tablespoon cooking oil","[[], ['1', '½', 'lbs', 'chicken', 'cut', 'into', 'serving', 'pieces'], [], ['1', '½', 'cups', 'rice', 'uncooked'], [], ['34', 'ounces', 'water', 'about', '1', 'liter'], [], ['2', 'Tablespoons', 'fish', 'sauce'], [], ['1', 'teaspoon', 'garlic'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', 'cup', 'onion', 'minced'], [], ['4', 'eggs', 'hard', 'boiled'], [], ['1', 'cup', 'scallions', 'green', 'onions', 'minced'], [], ['2', 'knobs', 'ginger', 'julienned'], [], ['3', 'tbsp', 'safflower', 'kasubha'], [], ['1', 'chicken', 'cube', 'bouillon'], [], ['1', 'lemon', 'or', '4', 'pieces', 'calamansi'], [], ['2', 'Tablespoon', 'cooking', 'oil']]","['chicken', 'cut', 'into', 'serving', 'rice', 'uncooked', 'water', 'about', 'fish', 'sauce', 'garlic', 'ground', 'black', 'pepper', 'onion', 'eggs', 'hard', 'boiled', 'scallions', 'green', 'onions', 'knobs', 'ginger', 'julienned', 'safflower', 'kasubha', 'chicken', 'cube', 'bouillon', 'lemon', 'or', 'calamansi', 'cooking', 'oil']"
Tortilla Espanola,"5
minutes","10
minutes",Breakfast,, 3g (1%, 1g (2%, 108g (166%, 15g (75%, 11g Monounsaturated Fat, 877mg (37%, 43mg (1%, 1g (4%, 1g (1%, 9IU Vitamin C,, 9mg (1%, 1mg (6%, 4g Calories,,,https://panlasangpinoy.com/tortilla-espanola-potato-omelet-recipe/,"▢
5 pieces potato peeled and sliced
▢
1 piece yellow onion diced
▢
6 pieces eggs
▢
2 cups olive oil
▢
1 1/2 teaspoon salt","[[], ['5', 'pieces', 'potato', 'peeled', 'and', 'sliced'], [], ['1', 'piece', 'yellow', 'onion', 'diced'], [], ['6', 'pieces', 'eggs'], [], ['2', 'cups', 'olive', 'oil'], [], ['1', '12', 'teaspoon', 'salt']]","['potato', 'peeled', 'and', 'yellow', 'onion', 'eggs', 'olive', 'oil', 'salt']"
Longsilog Recipe,"5
minutes",,Breakfast, 978kcal (49%, 149g (50%, 22g (44%, 30g (46%, 6g (30%, 6g Monounsaturated Fat, 373mg (16%, 369mg (11%, 2g (8%, 1g (1%, 46IU (1%, 2mg (2%, 65mg (7%, 2mg (11%,,,,https://panlasangpinoy.com/how-to-cook-longsilog/,"▢
1/2 lb. skinless longanisa
▢
2 pieces eggs
▢
4 cups rice leftover
▢
5 cloves garlic crushed
▢
1/2 cup water
▢
4 tablespoons cooking oil
▢
Salt and ground black pepper to taste","[[], ['12', 'lb', 'skinless', 'longanisa'], [], ['2', 'pieces', 'eggs'], [], ['4', 'cups', 'rice', 'leftover'], [], ['5', 'cloves', 'garlic', 'crushed'], [], ['12', 'cup', 'water'], [], ['4', 'tablespoons', 'cooking', 'oil'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['skinless', 'longanisa', 'eggs', 'rice', 'leftover', 'garlic', 'water', 'cooking', 'oil', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Banana Fritter Recipe,"15
minutes","10
minutes",Breakfast,, 44g (15%, 4g (8%, 30g (46%, 3g (15%,, 223mg (9%, 153mg (4%, 1g (4%, 27g (30%, 105IU (2%,, 82mg (8%, 1mg (6%, 6g Calories, 31mg (10%,,https://panlasangpinoy.com/banana-fritter-recipe/,"▢
6 pieces banana saba or plantain variety, ripe (mashed)
▢
1 cup all-purpose flour
▢
1 1/2 teaspoon vanilla extract
▢
1 piece egg beaten
▢
1 teaspoon baking powder
▢
3/4 cup granulated white sugar
▢
1 cup fresh milk
▢
3/4 cups cooking oil
▢
1/2 teaspoon salt","[[], ['6', 'pieces', 'banana', 'saba', 'or', 'plantain', 'variety', 'ripe', 'mashed'], [], ['1', 'cup', 'allpurpose', 'flour'], [], ['1', '12', 'teaspoon', 'vanilla', 'extract'], [], ['1', 'piece', 'egg', 'beaten'], [], ['1', 'teaspoon', 'baking', 'powder'], [], ['34', 'cup', 'granulated', 'white', 'sugar'], [], ['1', 'cup', 'fresh', 'milk'], [], ['34', 'cups', 'cooking', 'oil'], [], ['12', 'teaspoon', 'salt']]","['banana', 'saba', 'or', 'plantain', 'variety', 'ripe', 'mashed', 'all', 'purpose', 'flour', 'vanilla', 'extract', 'egg', 'baking', 'powder', 'granulated', 'white', 'sugar', 'fresh', 'milk', 'cooking', 'oil', 'salt']"
Corned Beef Omelet,"5
minutes","10
minutes",Breakfast,, 5g (2%, 13g (26%, 23g (35%, 5g (25%,, 1041mg (43%, 357mg (10%, 1g (4%, 2g (2%, 187IU (4%, 29mg (35%, 31mg (3%, 2mg (11%, 8g Calories, 49mg (16%,,https://panlasangpinoy.com/tortang-corned-beef-omelet/,"▢
12 ounces corned beef
▢
3 pieces eggs
▢
1 piece onion
▢
4 cloves garlic
▢
3/4 cup green onion chopped
▢
3 tablespoons Cooking oil
▢
Salt and ground black pepper to taste","[[], ['12', 'ounces', 'corned', 'beef'], [], ['3', 'pieces', 'eggs'], [], ['1', 'piece', 'onion'], [], ['4', 'cloves', 'garlic'], [], ['34', 'cup', 'green', 'onion', 'chopped'], [], ['3', 'tablespoons', 'Cooking', 'oil'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['corned', 'beef', 'eggs', 'onion', 'garlic', 'green', 'onion', 'cooking', 'oil', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Chicken Adobo Fried Rice and Tortang Corned Beef,"5
minutes","15
minutes",Breakfast, 721kcal (36%, 62g (21%, 17g (34%, 45g (69%, 6g (30%,, 1870mg (78%, 391mg (11%, 3g (12%, 3g (3%, 2079IU (42%, 18mg (22%, 46mg (5%, 2mg (11%,, 85mg (28%,,https://panlasangpinoy.com/chicken-adobo-fried-rice-and-tortang-corned-beef/,"▢
1 cup chicken adobo shredded and chopped
▢
4 cups leftover rice
▢
1/2 teaspoon salt
▢
4 cloves garlic crushed
▢
3 tablespoons cooking oil","[[], ['1', 'cup', 'chicken', 'adobo', 'shredded', 'and', 'chopped'], [], ['4', 'cups', 'leftover', 'rice'], [], ['12', 'teaspoon', 'salt'], [], ['4', 'cloves', 'garlic', 'crushed'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['chicken', 'adobo', 'and', 'leftover', 'rice', 'salt', 'garlic', 'cooking', 'oil']"
Tapsilog,"10
minutes","30
minutes",Breakfast, 883kcal (44%, 93g (31%, 43g (86%, 36g (55%, 4g (20%,, 2841mg (118%, 877mg (25%, 3g (12%, 17g (19%, 2500IU (50%, 10.1mg (12%, 94mg (9%, 4mg (22%,, 86mg (29%,,https://panlasangpinoy.com/tapsilog-recipe/,"▢
1 lb. beef sirloin sliced thinly
▢
3 pieces eggs
▢
6 tablespoons cooking oil","[[], ['1', 'lb', 'beef', 'sirloin', 'sliced', 'thinly'], [], ['3', 'pieces', 'eggs'], [], ['6', 'tablespoons', 'cooking', 'oil']]","['beef', 'sirloin', 'thinly', 'eggs', 'cooking', 'oil']"
Filipino Omelet,"5
minutes","8
minutes",Breakfast,, 6g (2%, 1g (2%, 9g (14%,,, 200mg (8%, 247mg (7%, 1g (4%, 3g (3%, 685IU (14%, 13.9mg (17%, 17mg (2%, 0.3mg (2%, 3g Calories, 3mg (1%,,https://panlasangpinoy.com/filipino-omelet-recipe/,"▢
3 pieces large eggs
▢
2 piece tomatoes diced
▢
1 piece red onion diced
▢
1/4 teaspoon ground black pepper
▢
1/4 teaspoon sea salt
▢
2 tablespoons cooking oil","[[], ['3', 'pieces', 'large', 'eggs'], [], ['2', 'piece', 'tomatoes', 'diced'], [], ['1', 'piece', 'red', 'onion', 'diced'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper'], [], ['14', 'teaspoon', 'sea', 'salt'], [], ['2', 'tablespoons', 'cooking', 'oil']]","['eggs', 'tomatoes', 'red', 'onion', 'ground', 'black', 'pepper', 'sea', 'salt', 'cooking', 'oil']"
Skinless Longganisa,"15
minutes","10
minutes",Breakfast, 114kcal (6%, 4g (1%, 5g (10%, 8g (12%, 3g (15%,, 354mg (15%, 107mg (3%,, 4g (4%, 135IU (3%, 0.9mg (1%, 12mg (1%, 0.4mg (2%,, 21mg (7%,,https://panlasangpinoy.com/skinless-longganisa-recipe/,"▢
1 ¾ lbs. ground pork
▢
9 tablespoons dark brown sugar
▢
1 tablespoon smoked paprika
▢
3 tablespoons vegetable oil
▢
1 ¼ tablespoons coarse salt
▢
1 teaspoon ground black pepper
▢
2 head garlic","[[], ['1', '¾', 'lbs', 'ground', 'pork'], [], ['9', 'tablespoons', 'dark', 'brown', 'sugar'], [], ['1', 'tablespoon', 'smoked', 'paprika'], [], ['3', 'tablespoons', 'vegetable', 'oil'], [], ['1', '¼', 'tablespoons', 'coarse', 'salt'], [], ['1', 'teaspoon', 'ground', 'black', 'pepper'], [], ['2', 'head', 'garlic']]","['ground', 'pork', 'dark', 'brown', 'sugar', 'smoked', 'paprika', 'vegetable', 'oil', 'coarse', 'salt', 'ground', 'black', 'pepper', 'head', 'garlic']"
Pork Tapsilog,"5
minutes","25
minutes",Breakfast, 1231kcal (62%, 198g (66%, 51g (102%, 21g (32%, 3g (15%,, 476mg (20%, 849mg (24%, 3g (12%,,, 0.7mg (1%, 80mg (8%, 2.8mg (16%,, 100mg (33%,,https://panlasangpinoy.com/pork-tapsilog-recipe/,"▢
1 lb. pork loin thinly sliced
▢
4 pieces fried eggs
▢
4 cups garlic rice
▢
2 teaspoons minced garlic
▢
3 to 4 tablespoons soy sauce
▢
½ teaspoon salt
▢
A dash of ground black pepper
▢
½ teaspoon granulated white sugar
▢
3 tablespoons cooking oil","[[], ['1', 'lb', 'pork', 'loin', 'thinly', 'sliced'], [], ['4', 'pieces', 'fried', 'eggs'], [], ['4', 'cups', 'garlic', 'rice'], [], ['2', 'teaspoons', 'minced', 'garlic'], [], ['3', 'to', '4', 'tablespoons', 'soy', 'sauce'], [], ['½', 'teaspoon', 'salt'], [], ['A', 'dash', 'of', 'ground', 'black', 'pepper'], [], ['½', 'teaspoon', 'granulated', 'white', 'sugar'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['pork', 'loin', 'thinly', 'fried', 'eggs', 'garlic', 'rice', 'garlic', 'to', 'soy', 'sauce', 'salt', 'a', 'of', 'ground', 'black', 'pepper', 'granulated', 'white', 'sugar', 'cooking', 'oil']"
Dulong Fishcake,"5
minutes","12
minutes",Breakfast, 1373kcal (69%, 61g (20%, 108g (216%, 77g (118%, 24g (120%,, 3535mg (147%, 1589mg (45%, 3g (12%, 5g (6%, 935IU (19%, 6.8mg (8%, 218mg (22%, 7.2mg (40%,, 456mg (152%,,https://panlasangpinoy.com/dulong-fishcake/,"▢
1 lb dulong silver fish, cleaned
▢
3/4 cup breadcrumbs
▢
1 piece raw egg beaten
▢
1 tablespoon mayonnaise
▢
3 teaspoons lemon juice
▢
1 teaspoon minced garlic
▢
1/2 teaspoon Dijon mustard
▢
1 teaspoon salt
▢
1/2 teaspoon ground black pepper
▢
2 tablespoons extra vigin olive oil
▢
2 tablespoons butter","[[], ['1', 'lb', 'dulong', 'silver', 'fish', 'cleaned'], [], ['34', 'cup', 'breadcrumbs'], [], ['1', 'piece', 'raw', 'egg', 'beaten'], [], ['1', 'tablespoon', 'mayonnaise'], [], ['3', 'teaspoons', 'lemon', 'juice'], [], ['1', 'teaspoon', 'minced', 'garlic'], [], ['12', 'teaspoon', 'Dijon', 'mustard'], [], ['1', 'teaspoon', 'salt'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['2', 'tablespoons', 'extra', 'vigin', 'olive', 'oil'], [], ['2', 'tablespoons', 'butter']]","['dulong', 'silver', 'fish', 'cleaned', 'breadcrumbs', 'raw', 'egg', 'mayonnaise', 'lemon', 'juice', 'garlic', 'dijon', 'mustard', 'salt', 'ground', 'black', 'pepper', 'extra', 'vigin', 'olive', 'oil', 'butter']"
Longanisa Recipe (Filipino Sausage),"18
minutes","20
minutes",Breakfast, 711kcal (36%, 8g (3%, 43g (86%, 54g (83%, 20g (100%,, 2452mg (102%, 773mg (22%,, 6g (7%, 20IU Vitamin C,, 42mg (4%, 2.4mg (13%,, 183mg (61%,,https://panlasangpinoy.com/how-to-make-longganisa/,"▢
2 1/4 lbs ground pork
▢
1 tablespoon coarse salt
▢
1/2 teaspoon Prague powder #1
▢
1 teaspoon sodium phosphate
▢
1/4 cup cold water
▢
1/4 cup TVP Textured Vegetable Protein
▢
1 tablespoon Isolate
▢
1/2 teaspoon Carrageenan
▢
2 tablespoon sugar
▢
6 tablespoon garlic minced
▢
2 tablespoon paprika for color
▢
3 tablespoon Anise Liquor
▢
1 tablespoon ground black pepper
▢
2 tablespoon pineapple juice
▢
1/2 teaspoon meat enhancer optional","[[], ['2', '14', 'lbs', 'ground', 'pork'], [], ['1', 'tablespoon', 'coarse', 'salt'], [], ['12', 'teaspoon', 'Prague', 'powder', '1'], [], ['1', 'teaspoon', 'sodium', 'phosphate'], [], ['14', 'cup', 'cold', 'water'], [], ['14', 'cup', 'TVP', 'Textured', 'Vegetable', 'Protein'], [], ['1', 'tablespoon', 'Isolate'], [], ['12', 'teaspoon', 'Carrageenan'], [], ['2', 'tablespoon', 'sugar'], [], ['6', 'tablespoon', 'garlic', 'minced'], [], ['2', 'tablespoon', 'paprika', 'for', 'color'], [], ['3', 'tablespoon', 'Anise', 'Liquor'], [], ['1', 'tablespoon', 'ground', 'black', 'pepper'], [], ['2', 'tablespoon', 'pineapple', 'juice'], [], ['12', 'teaspoon', 'meat', 'enhancer', 'optional']]","['ground', 'pork', 'coarse', 'salt', 'prague', 'powder', 'sodium', 'phosphate', 'cold', 'water', 'tvp', 'textured', 'vegetable', 'protein', 'isolate', 'carrageenan', 'sugar', 'garlic', 'paprika', 'for', 'color', 'anise', 'liquor', 'ground', 'black', 'pepper', 'pineapple', 'juice', 'meat', 'enhancer', 'optional']"
Homemade Pork Tocino,,"20
minutes",Breakfast,, 31g (10%, 34g (68%, 6g (9%, 1g (5%,, 2197mg (92%, 646mg (18%,, 27g (30%,, 5mg (6%, 28mg (3%, 1.1mg (6%, 6g Calories, 95mg (32%,,https://panlasangpinoy.com/homemade-pork-tocino-recipe/,"▢
2 lbs. pork ham
▢
1 1/2 tablespoons sea salt
▢
1/2 teaspoon Prague powder #1
▢
3/4 cups granulated white sugar
▢
1 teaspoon sodium phosphate
▢
1/4 cup anisette liquor
▢
1/2 cup pineapple juice
▢
1/4 cup crushed garlic
▢
1 tablespoon garlic powder
▢
1/4 teaspoon Vitamin C powder
▢
1/4 teaspoon Red food coloring","[[], ['2', 'lbs', 'pork', 'ham'], [], ['1', '12', 'tablespoons', 'sea', 'salt'], [], ['12', 'teaspoon', 'Prague', 'powder', '1'], [], ['34', 'cups', 'granulated', 'white', 'sugar'], [], ['1', 'teaspoon', 'sodium', 'phosphate'], [], ['14', 'cup', 'anisette', 'liquor'], [], ['12', 'cup', 'pineapple', 'juice'], [], ['14', 'cup', 'crushed', 'garlic'], [], ['1', 'tablespoon', 'garlic', 'powder'], [], ['14', 'teaspoon', 'Vitamin', 'C', 'powder'], [], ['14', 'teaspoon', 'Red', 'food', 'coloring']]","['pork', 'ham', 'sea', 'salt', 'prague', 'powder', 'granulated', 'white', 'sugar', 'sodium', 'phosphate', 'anisette', 'liquor', 'pineapple', 'juice', 'garlic', 'garlic', 'powder', 'vitamin', 'powder', 'red', 'food', 'coloring']"
Tofu and Broccoli Stir fry,"5
minutes","18
minutes",Lunch,, 11g (4%, 7g (14%, 22g (34%, 2g (10%, 7g Monounsaturated Fat,, 395mg (11%, 3g (12%, 4g (4%, 2959IU (59%, 62mg (75%, 64mg (6%, 1mg (6%, 3g Calories,,,https://panlasangpinoy.com/tofu-and-broccoli-stir-fry/,"▢
8 oz. extra firm tofu sliced in 1/2 inch thick pieces
▢
3 cups sliced broccoli florets
▢
1 carrot sliced diagonally (optional)
▢
1 medium onion sliced
▢
1 teaspoon minced garlic
▢
1 teaspoon minced ginger
▢
2 tablespoons oyster sauce
▢
6 tablespoons cooking oil
▢
Salt and pepper to taste","[[], ['8', 'oz', 'extra', 'firm', 'tofu', 'sliced', 'in', '12', 'inch', 'thick', 'pieces'], [], ['3', 'cups', 'sliced', 'broccoli', 'florets'], [], ['1', 'carrot', 'sliced', 'diagonally', 'optional'], [], ['1', 'medium', 'onion', 'sliced'], [], ['1', 'teaspoon', 'minced', 'garlic'], [], ['1', 'teaspoon', 'minced', 'ginger'], [], ['2', 'tablespoons', 'oyster', 'sauce'], [], ['6', 'tablespoons', 'cooking', 'oil'], [], ['Salt', 'and', 'pepper', 'to', 'taste']]","['extra', 'firm', 'tofu', 'in', 'inch', 'thick', 'broccoli', 'florets', 'carrot', 'diagonally', 'optional', 'onion', 'garlic', 'ginger', 'oyster', 'sauce', 'cooking', 'oil', 'salt', 'and', 'pepper', 'to', 'taste']"
Beef Empanada Recipe,"10
minutes","30
minutes",Lunch,, 101g (34%, 32g (64%, 245g (377%, 51g (255%, 52g Monounsaturated Fat, 1077mg (45%, 730mg (21%, 5g (20%, 12g (13%, 1682IU (34%, 10mg (12%, 90mg (9%, 8mg (44%, 4g Calories,,,https://panlasangpinoy.com/beef-empanadas-recipe/,"▢
1 lb. ground beef 85% lean
▢
1/2 cup raisins
▢
1/2 cup green peas
▢
1 yellow onion minced
▢
1/2 cup beef broth
▢
1 teaspoon salt
▢
1/2 teaspoon paprika
▢
1/2 teaspoon ground black pepper
▢
1 teaspoon granulated white sugar
▢
2 tablespoons cooking oil","[[], ['1', 'lb', 'ground', 'beef', '85', 'lean'], [], ['12', 'cup', 'raisins'], [], ['12', 'cup', 'green', 'peas'], [], ['1', 'yellow', 'onion', 'minced'], [], ['12', 'cup', 'beef', 'broth'], [], ['1', 'teaspoon', 'salt'], [], ['12', 'teaspoon', 'paprika'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', 'teaspoon', 'granulated', 'white', 'sugar'], [], ['2', 'tablespoons', 'cooking', 'oil']]","['ground', 'beef', 'lean', 'raisins', 'green', 'peas', 'yellow', 'onion', 'beef', 'broth', 'salt', 'paprika', 'ground', 'black', 'pepper', 'granulated', 'white', 'sugar', 'cooking', 'oil']"
Crispy Katsu Sando,"5
minutes","12
minutes",Lunch, 292kcal (15%, 16g (5%, 3g (6%, 24g (37%, 7g (35%, 7g Monounsaturated Fat, 508mg (21%, 64mg (2%, 1g (4%, 5g (6%, 288IU (6%, 6mg (7%, 37mg (4%, 1mg (6%,,,,https://panlasangpinoy.com/crispy-katsu-sando/,"▢
6 CDO Crispy burger patties
▢
3 slices tasty bread cut in half
▢
1 cup cabbage shredded
▢
1/4 cup katsu sauce
▢
3 tablespoons butter
▢
2 tablespoons cooking oil
▢
3 tablespoons mayonnaise","[[], ['6', 'CDO', 'Crispy', 'burger', 'patties'], [], ['3', 'slices', 'tasty', 'bread', 'cut', 'in', 'half'], [], ['1', 'cup', 'cabbage', 'shredded'], [], ['14', 'cup', 'katsu', 'sauce'], [], ['3', 'tablespoons', 'butter'], [], ['2', 'tablespoons', 'cooking', 'oil'], [], ['3', 'tablespoons', 'mayonnaise']]","['cdo', 'crispy', 'burger', 'patties', 'tasty', 'bread', 'cut', 'in', 'cabbage', 'katsu', 'sauce', 'butter', 'cooking', 'oil', 'mayonnaise']"
